               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.049436,            0.024802,            0.005817,             0.78895,             0.37432,             0.42949,             0.19571,            0.045182,            0.020145,           0.0049786,           0.0082675,           0.0082675,           0.0082675
                  37,             0.04913,            0.024412,           0.0060302,              0.7854,             0.38449,             0.44123,             0.20881,            0.043838,            0.019654,           0.0046866,            0.008218,            0.008218,            0.008218
                  38,            0.049441,            0.024579,           0.0058487,              0.7811,             0.38645,              0.4572,             0.21505,            0.043592,            0.019531,           0.0046272,           0.0081685,           0.0081685,           0.0081685
                  39,            0.048891,            0.024599,           0.0057129,             0.79692,             0.38609,             0.47006,             0.21768,            0.043619,            0.019484,           0.0047707,            0.008119,            0.008119,            0.008119
                  40,            0.048474,            0.024541,           0.0058681,             0.78312,             0.40335,             0.47755,             0.21995,            0.043392,            0.019625,           0.0045628,           0.0080695,           0.0080695,           0.0080695
                  41,             0.04827,            0.024313,           0.0053871,             0.78832,             0.38647,             0.45513,             0.21568,            0.043141,            0.019337,           0.0044027,             0.00802,             0.00802,             0.00802
                  42,            0.048476,            0.024197,           0.0056036,             0.78475,             0.40753,             0.48157,             0.22429,            0.042912,            0.019367,           0.0043568,           0.0079705,           0.0079705,           0.0079705
                  43,            0.047489,            0.023745,           0.0054766,             0.75404,             0.39293,             0.44501,             0.21076,            0.044083,            0.019915,           0.0048218,            0.007921,            0.007921,            0.007921
                  44,            0.047761,            0.024376,           0.0054918,             0.78229,             0.41158,             0.49671,             0.24215,            0.042856,            0.019285,           0.0042532,           0.0078715,           0.0078715,           0.0078715
                  45,            0.047484,            0.023934,           0.0054037,              0.8035,               0.393,             0.49276,             0.23861,            0.042892,            0.019246,           0.0041546,            0.007822,            0.007822,            0.007822
                  46,            0.047603,            0.023717,           0.0053495,             0.79416,             0.39523,             0.49662,             0.24144,              0.0426,            0.019219,           0.0043311,           0.0077725,           0.0077725,           0.0077725
                  47,            0.047452,            0.023954,           0.0055853,             0.79009,              0.4201,             0.50429,             0.24436,            0.042701,            0.019227,            0.004255,            0.007723,            0.007723,            0.007723
                  48,            0.047421,            0.024091,            0.005403,             0.79385,             0.40267,              0.4884,             0.23305,             0.04258,            0.019384,           0.0046126,           0.0076735,           0.0076735,           0.0076735
                  49,            0.046907,            0.023627,           0.0052554,             0.80142,             0.41212,             0.50316,             0.24528,            0.042748,            0.019155,           0.0042565,            0.007624,            0.007624,            0.007624
                  50,            0.046763,            0.024106,           0.0055074,             0.80765,             0.42151,              0.5055,             0.23855,            0.042408,            0.019047,           0.0043121,           0.0075745,           0.0075745,           0.0075745
                  51,            0.046407,            0.023709,            0.005434,             0.80812,             0.41098,             0.51066,              0.2416,            0.042241,            0.019145,           0.0042943,            0.007525,            0.007525,            0.007525
                  52,            0.046556,             0.02377,           0.0051948,             0.81133,             0.41241,             0.51749,             0.24836,            0.042124,            0.019245,           0.0043271,           0.0074755,           0.0074755,           0.0074755
                  53,            0.046012,            0.023437,           0.0050075,             0.81791,             0.41343,             0.51556,              0.2511,             0.04207,            0.019011,           0.0041915,            0.007426,            0.007426,            0.007426
                  54,            0.046416,            0.023687,           0.0049834,             0.81001,             0.42529,             0.53993,              0.2629,             0.04188,            0.018906,            0.004016,           0.0073765,           0.0073765,           0.0073765
                  55,            0.045958,            0.023567,           0.0052472,             0.79661,             0.42404,             0.52532,             0.25818,            0.041683,            0.018881,           0.0042143,            0.007327,            0.007327,            0.007327
                  56,            0.046121,            0.023527,           0.0052304,             0.80914,             0.41692,               0.525,             0.25319,            0.041483,            0.018885,           0.0040986,           0.0072775,           0.0072775,           0.0072775
                  57,            0.045543,            0.023434,           0.0050981,             0.80507,             0.43472,             0.54037,             0.25603,            0.041355,            0.018793,           0.0039985,            0.007228,            0.007228,            0.007228
                  58,            0.045811,            0.023558,           0.0050504,             0.80349,             0.42721,              0.5292,              0.2578,            0.041089,            0.018846,           0.0037919,           0.0071785,           0.0071785,           0.0071785
                  59,            0.045289,            0.022742,           0.0048408,             0.81343,             0.43164,             0.54425,             0.26406,            0.041156,            0.018859,           0.0042876,            0.007129,            0.007129,            0.007129
                  60,            0.045335,            0.022911,           0.0048751,             0.81829,             0.43913,             0.55681,             0.27192,            0.040987,             0.01872,           0.0041113,           0.0070795,           0.0070795,           0.0070795
                  61,            0.044987,            0.023392,           0.0048816,              0.6171,             0.55154,             0.56216,             0.27676,            0.040825,            0.018702,           0.0041176,             0.00703,             0.00703,             0.00703
                  62,            0.044917,            0.023119,           0.0047733,              0.8009,             0.43745,             0.55245,             0.27392,            0.041033,            0.018799,           0.0041806,           0.0069805,           0.0069805,           0.0069805
                  63,            0.045003,            0.022936,            0.004992,             0.82231,             0.43693,             0.57009,             0.27833,            0.040773,            0.018654,           0.0040058,            0.006931,            0.006931,            0.006931
                  64,            0.044505,            0.022748,           0.0046567,               0.723,             0.49756,             0.57356,             0.27678,            0.041154,            0.018741,           0.0040397,           0.0068815,           0.0068815,           0.0068815
                  65,            0.044872,            0.023175,           0.0046923,             0.69535,             0.52055,             0.57098,             0.27952,            0.040899,            0.018655,           0.0041683,            0.006832,            0.006832,            0.006832
                  66,            0.044463,             0.02282,           0.0046559,             0.74825,             0.48591,             0.56232,              0.2759,            0.040686,            0.018536,           0.0038885,           0.0067825,           0.0067825,           0.0067825
                  67,            0.044739,            0.022398,           0.0047002,             0.75033,              0.5115,             0.57641,             0.28103,             0.04053,            0.018599,           0.0037912,            0.006733,            0.006733,            0.006733
                  68,            0.044438,            0.022688,           0.0046295,             0.77475,             0.48869,             0.56832,             0.28144,            0.040797,            0.018677,           0.0039369,           0.0066835,           0.0066835,           0.0066835
                  69,            0.044279,            0.022967,           0.0046015,             0.76561,             0.47169,             0.56175,             0.27565,              0.0408,            0.018535,           0.0041439,            0.006634,            0.006634,            0.006634
                  70,            0.044211,            0.022576,           0.0047121,             0.76658,             0.50258,             0.58166,             0.29389,             0.04015,            0.018422,           0.0038666,           0.0065845,           0.0065845,           0.0065845
                  71,             0.04393,            0.022599,           0.0046402,             0.82175,             0.49122,             0.57837,             0.28617,            0.040396,            0.018434,           0.0037919,            0.006535,            0.006535,            0.006535
                  72,            0.043503,            0.022274,           0.0044031,             0.80242,             0.49129,             0.58069,             0.29457,            0.040106,            0.018262,            0.003944,           0.0064855,           0.0064855,           0.0064855
                  73,             0.04365,            0.022553,           0.0046331,             0.69327,             0.53662,             0.59249,             0.29908,            0.040092,            0.018266,           0.0037818,            0.006436,            0.006436,            0.006436
                  74,            0.043868,            0.022097,           0.0043728,              0.7466,             0.51245,             0.57766,             0.29412,              0.0399,            0.018196,           0.0037418,           0.0063865,           0.0063865,           0.0063865
                  75,            0.043425,            0.022502,           0.0043144,             0.82734,             0.50809,             0.60628,             0.29761,            0.039744,            0.018193,           0.0038981,            0.006337,            0.006337,            0.006337
                  76,            0.043147,            0.021794,           0.0044234,             0.82012,             0.49388,              0.6002,             0.29913,            0.039591,            0.018237,           0.0035443,           0.0062875,           0.0062875,           0.0062875
                  77,            0.043184,             0.02217,           0.0043171,             0.71297,             0.53165,             0.60549,             0.30051,            0.039471,            0.018252,           0.0037853,            0.006238,            0.006238,            0.006238
                  78,            0.042882,            0.022618,           0.0041346,             0.76248,              0.5538,              0.6077,             0.30176,            0.039434,            0.018231,           0.0038406,           0.0061885,           0.0061885,           0.0061885
                  79,            0.042727,            0.022084,           0.0042456,              0.6977,             0.56812,             0.60378,             0.29955,            0.039818,            0.018261,           0.0039746,            0.006139,            0.006139,            0.006139
                  80,            0.043169,            0.022002,           0.0042384,             0.76094,             0.53727,             0.60834,             0.30519,            0.039382,            0.018196,           0.0038448,           0.0060895,           0.0060895,           0.0060895
                  81,            0.042712,            0.021776,            0.004217,             0.75449,             0.55152,             0.60998,             0.30829,            0.039535,            0.018162,           0.0038794,             0.00604,             0.00604,             0.00604
                  82,            0.042892,            0.021921,           0.0042226,             0.78139,              0.5429,             0.61385,              0.3072,            0.039622,             0.01817,           0.0037903,           0.0059905,           0.0059905,           0.0059905
                  83,            0.042635,            0.021646,           0.0042139,             0.77695,             0.54289,             0.61605,             0.30989,            0.039697,            0.018156,           0.0040212,            0.005941,            0.005941,            0.005941
                  84,            0.042446,            0.021732,           0.0041007,             0.74319,              0.5434,             0.61274,             0.30664,            0.039392,            0.018147,           0.0037592,           0.0058915,           0.0058915,           0.0058915
                  85,            0.042553,            0.021466,           0.0040608,             0.69433,             0.56415,             0.62133,             0.31069,            0.039527,            0.018023,           0.0035665,            0.005842,            0.005842,            0.005842
                  86,             0.04219,            0.022354,           0.0040578,              0.7436,             0.56681,             0.63313,             0.30871,            0.039253,            0.018085,           0.0037914,           0.0057925,           0.0057925,           0.0057925
                  87,            0.042188,            0.021654,           0.0040065,             0.76209,             0.53167,             0.61465,             0.31072,            0.039593,            0.018261,           0.0036787,            0.005743,            0.005743,            0.005743
                  88,            0.041921,            0.021601,           0.0038295,             0.80922,             0.54164,             0.63559,             0.31035,            0.039454,            0.018052,           0.0040274,           0.0056935,           0.0056935,           0.0056935
                  89,            0.042229,            0.021439,           0.0039793,             0.72781,             0.56915,             0.61896,             0.30699,            0.039636,            0.018115,           0.0037683,            0.005644,            0.005644,            0.005644
                  90,            0.042038,            0.021337,           0.0038463,             0.78058,             0.55924,             0.63761,              0.3184,            0.039367,            0.018014,           0.0035894,           0.0055945,           0.0055945,           0.0055945
                  91,            0.041692,            0.021449,           0.0037987,             0.77586,             0.55238,              0.6445,             0.31931,             0.03897,            0.017969,           0.0038267,            0.005545,            0.005545,            0.005545
                  92,            0.041676,            0.021267,           0.0039505,             0.76087,             0.52957,             0.61495,               0.303,            0.039154,            0.018014,           0.0036624,           0.0054955,           0.0054955,           0.0054955
                  93,             0.04231,            0.021518,           0.0039388,             0.76462,             0.58101,             0.63894,             0.32699,            0.039049,            0.017959,           0.0034142,            0.005446,            0.005446,            0.005446
                  94,            0.041706,            0.021486,           0.0040406,             0.77367,             0.56448,             0.64604,             0.31542,            0.039288,             0.01796,           0.0035196,           0.0053965,           0.0053965,           0.0053965
                  95,            0.041649,            0.021379,           0.0037523,             0.71509,             0.58991,             0.64564,             0.32463,            0.038841,            0.017906,           0.0032916,            0.005347,            0.005347,            0.005347
